Timestamp,X Position,Y Position
2024-03-22T13:50:35.092Z,189,406
2024-03-22T13:50:37.146Z,174,418
2024-03-22T13:50:38.107Z,1131,585
2024-03-22T13:50:39.322Z,1131,35
2024-03-22T13:50:40.756Z,941,41
2024-03-22T13:50:41.355Z,929,91
2024-03-22T13:50:41.802Z,929,125
2024-03-22T13:50:42.467Z,779,134
2024-03-22T13:50:42.802Z,775,186
2024-03-22T13:50:43.147Z,770,217
2024-03-22T13:50:43.466Z,772,258
2024-03-22T13:50:44.475Z,596,33
2024-03-22T13:50:46.403Z,587,35
2024-03-22T13:50:52.475Z,550,567
2024-03-22T13:50:53.354Z,716,575
2024-03-22T13:50:54.074Z,907,573
2024-03-22T13:50:55.123Z,763,923
2024-03-22T13:50:59.346Z,764,3112
2024-03-22T13:51:00.314Z,1045,3020
2024-03-22T13:51:01.784Z,370,414
2024-03-22T13:51:06.155Z,1278,34
2024-03-22T13:51:07.683Z,1027,27
2024-03-22T13:51:09.739Z,665,7307
2024-03-22T13:51:10.363Z,941,7302
2024-03-22T13:51:10.756Z,732,7438
2024-03-22T13:51:11.171Z,732,7418
2024-03-22T13:51:11.715Z,742,7586
2024-03-22T13:51:12.763Z,870,7781
2024-03-22T13:51:14.818Z,1278,7617
2024-03-22T13:51:18.451Z,485,278
2024-03-22T13:51:18.723Z,365,248
2024-03-22T13:51:18.906Z,282,277
2024-03-22T13:51:19.075Z,204,256
2024-03-22T13:51:19.243Z,202,191
2024-03-22T13:51:19.426Z,278,220
2024-03-22T13:51:19.595Z,333,253
2024-03-22T13:51:19.779Z,388,284
2024-03-22T13:51:19.939Z,424,314
2024-03-22T13:51:20.363Z,394,336
2024-03-22T13:51:56.667Z,589,34
2024-03-22T13:51:58.555Z,668,585
2024-03-22T13:51:59.603Z,746,2264
2024-03-22T13:52:02.074Z,33,3657
2024-03-22T13:52:03.691Z,350,4041
2024-03-22T13:52:03.844Z,350,4041
2024-03-22T13:52:05.207Z,392,4367
2024-03-22T13:52:06.684Z,1277,4122
2024-03-22T13:52:08.131Z,1277,4122
2024-03-22T13:52:09.707Z,1277,4122
2024-03-22T13:52:10.627Z,1277,4122
2024-03-22T13:52:13.667Z,1284,3838
2024-03-22T13:52:15.179Z,1157,3060
2024-03-22T13:52:16.451Z,737,923
2024-03-22T13:52:18.165Z,307,420
2024-03-22T13:52:19.971Z,662,322
2024-03-22T13:52:23.315Z,1188,228
2024-03-22T13:52:24.642Z,1040,30
2024-03-22T13:54:28.803Z,651,7320
2024-03-22T13:54:30.330Z,524,7325
2024-03-22T13:54:48.602Z,883,7772
2024-03-22T13:54:50.698Z,980,7306
2024-03-22T13:54:58.706Z,893,7798
2024-03-22T13:55:02.166Z,579,6903
2024-03-22T13:55:07.218Z,748,8169
2024-03-22T13:55:19.762Z,860,8146
2024-03-22T13:55:26.875Z,844,303
2024-03-22T13:55:28.267Z,194,429
2024-03-22T13:55:30.603Z,919,873
2024-03-22T13:55:31.355Z,1025,38
2024-03-22T13:55:34.379Z,705,8210
2024-03-22T13:55:34.955Z,735,8243
2024-03-22T13:55:40.051Z,1219,1999
2024-03-22T13:55:44.131Z,1145,8340
2024-03-22T13:55:47.259Z,402,8255
2024-03-22T13:55:51.059Z,705,8316
2024-03-22T13:55:54.323Z,736,39
2024-03-22T13:55:56.651Z,1125,3159
2024-03-22T13:55:57.291Z,1026,584
2024-03-22T13:55:58.259Z,589,6969
2024-03-22T13:56:01.835Z,834,1865
